Year;NHDC;Partos_vag;Cesareas
2011;781;2634;305
2011;779;0;0
2011;113;0;0
2011;619;0;0
2011;163;0;0
2011;131;0;0
2011;375;0;0
2011;764;1853;557
2011;14;313;239
2011;657;359;130
2011;362;37;14
2011;989;313;98
2011;990;412;147
2011;680;1986;642
2011;411;280;273
2011;241;325;465
2011;558;729;312
2011;167;9;8
2011;248;0;0
2011;224;118;79
2011;591;1230;366
2011;586;1173;347
2011;453;0;0
2011;145;0;0
2011;511;842;348
2011;530;1158;306
2011;6;277;332
2011;161;0;0
2011;623;886;257
2011;489;0;0
2011;875;0;0
2011;908;0;0
2011;940;0;0
2011;946;221;122
2011;1023;80;28
2011;1054;901;315
2011;1057;0;0
2011;1031;0;0
2011;1032;1201;292
2011;1064;0;4
2011;226;301;181
2011;687;1083;210
2011;745;2610;774
2011;109;239;161
2011;808;2115;520
2011;971;0;0
2011;128;0;0
2011;919;634;285
2011;725;2198;681
2011;3;0;0
2011;386;0;0
2011;306;0;0
2011;15;0;0
2011;264;303;175
2011;867;0;0
2011;910;427;249
2011;1053;785;348
2011;1055;1232;423
2011;529;0;0
2011;345;0;0
2011;515;0;0
2011;174;0;0
2011;523;0;0
2011;697;769;292
2011;239;0;0
2011;287;577;287
2011;377;0;0
2011;692;909;234
2011;335;0;0
2011;435;94;55
2011;423;73;61
2011;351;0;0
2011;810;0;0
2011;830;928;159
2011;892;1909;448
2011;921;443;341
2011;991;47;15
2011;992;734;171
2011;993;556;137
2011;1071;1320;489
2011;473;2514;942
2011;663;1139;378
2011;552;0;0
2011;772;0;0
2011;568;0;0
2011;398;0;0
2011;394;0;0
2011;614;0;0
2011;235;0;0
2011;616;0;0
2011;267;2743;1202
2011;565;0;0
2011;220;408;329
2011;278;1216;757
2011;107;0;0
2011;141;0;0
2011;711;1395;448
2011;204;0;0
2011;579;0;0
2011;348;0;0
2011;766;0;0
2011;761;0;0
2011;728;102;101
2011;280;1499;1216
2011;222;0;0
2011;276;2098;1156
2011;11;356;199
2011;302;150;80
2011;682;0;0
2011;279;1750;850
2011;282;1588;889
2011;281;694;532
2011;183;0;0
2011;610;0;0
2011;116;0;0
2011;115;0;0
2011;114;0;0
2011;126;0;0
2011;119;0;0
2011;770;1226;451
2011;583;0;0
2011;136;0;0
2011;469;150;78
2011;642;528;192
2011;674;2669;837
2011;193;0;0
2011;526;1507;399
2011;698;0;0
2011;630;1261;317
2011;124;0;0
2011;364;0;0
2011;604;1527;563
2011;123;0;0
2011;310;0;0
2011;571;668;194
2011;296;0;0
2011;566;648;195
2011;784;2286;539
2011;102;0;0
2011;379;0;0
2011;639;1161;279
2011;457;0;0
2011;609;1897;900
2011;101;0;0
