Year;NHDC;Partos_vag;Cesareas
2010;781;2385;275
2010;779;0;0
2010;113;0;0
2010;619;0;0
2010;163;0;0
2010;131;0;0
2010;375;0;0
2010;764;1906;578
2010;14;331;235
2010;657;389;131
2010;362;36;13
2010;989;326;75
2010;990;390;136
2010;680;2197;659
2010;411;302;312
2010;241;305;498
2010;558;783;369
2010;167;12;21
2010;224;128;88
2010;591;1663;489
2010;586;1286;343
2010;453;0;0
2010;145;0;0
2010;511;806;377
2010;530;1204;333
2010;6;278;312
2010;161;0;0
2010;623;1062;282
2010;489;0;0
2010;349;182;65
2010;875;0;0
2010;908;0;0
2010;940;0;0
2010;946;128;101
2010;1023;1094;297
2010;1054;1145;296
2010;1057;0;0
2010;1031;0;0
2010;1032;677;200
2010;226;523;191
2010;687;1017;198
2010;745;2695;845
2010;109;196;139
2010;808;2110;537
2010;971;0;0
2010;128;0;0
2010;919;905;275
2010;725;2269;650
2010;3;0;0
2010;386;0;0
2010;306;0;0
2010;15;0;0
2010;264;293;167
2010;867;0;0
2010;910;475;218
2010;1053;739;348
2010;1055;448;126
2010;732;1379;463
2010;529;0;0
2010;345;0;0
2010;515;0;0
2010;174;0;0
2010;523;0;0
2010;697;764;270
2010;239;0;0
2010;287;694;349
2010;377;0;0
2010;692;903;235
2010;335;0;0
2010;435;84;48
2010;423;57;59
2010;351;0;0
2010;810;12;3
2010;830;1004;173
2010;892;2019;512
2010;921;490;310
2010;991;46;22
2010;992;847;158
2010;993;598;166
2010;473;2511;944
2010;663;1144;366
2010;552;0;0
2010;772;0;0
2010;568;0;0
2010;398;0;0
2010;394;0;0
2010;614;0;0
2010;235;0;0
2010;616;0;0
2010;267;1811;1070
2010;565;0;0
2010;220;619;484
2010;278;1284;783
2010;107;0;0
2010;141;0;0
2010;711;1471;477
2010;569;0;0
2010;204;0;0
2010;579;0;0
2010;348;0;0
2010;766;0;0
2010;761;0;0
2010;728;138;126
2010;280;1568;1118
2010;222;0;0
2010;276;2063;1160
2010;11;311;237
2010;302;150;109
2010;682;0;0
2010;279;1675;819
2010;282;1384;871
2010;281;762;594
2010;183;0;0
2010;610;0;0
2010;116;0;0
2010;115;0;0
2010;114;0;0
2010;126;0;0
2010;156;0;0
2010;119;0;0
2010;770;1324;443
2010;583;0;0
2010;136;0;0
2010;469;120;71
2010;642;514;208
2010;674;3076;922
2010;193;0;0
2010;526;1595;426
2010;698;0;0
2010;630;1217;271
2010;124;0;0
2010;364;0;0
