Year;NHDC;Partos_vag;Cesareas
2012;113;0;0
2012;619;0;0
2012;163;0;0
2012;131;0;0
2012;375;0;0
2012;1090;2473;360
2012;764;1754;518
2012;14;331;209
2012;657;276;133
2012;362;37;14
2012;989;310;83
2012;990;386;109
2012;680;1853;575
2012;411;313;247
2012;241;288;452
2012;558;707;328
2012;167;10;10
2012;248;0;0
2012;224;126;61
2012;591;1173;351
2012;586;1097;319
2012;453;0;0
2012;145;0;0
2012;511;766;345
2012;530;1136;274
2012;6;235;328
2012;161;0;0
2012;623;845;301
2012;489;11;5
2012;875;0;0
2012;940;0;0
2012;946;219;90
2012;1023;961;247
2012;1054;884;351
2012;1057;0;0
2012;1031;0;0
2012;1032;1199;295
2012;1064;120;69
2012;226;279;214
2012;687;937;229
2012;745;2534;675
2012;109;219;155
2012;808;2110;488
2012;971;0;0
2012;128;0;0
2012;919;813;241
2012;725;2041;606
2012;3;0;0
2012;386;0;0
2012;306;0;0
2012;15;0;0
2012;264;293;156
2012;867;0;0
2012;910;354;263
2012;1053;830;334
2012;1055;1116;398
2012;529;0;0
2012;345;0;0
2012;515;0;0
2012;174;0;0
2012;523;0;0
2012;697;641;325
2012;239;0;0
2012;287;562;236
2012;377;0;0
2012;692;939;243
2012;335;0;0
2012;435;75;55
2012;423;54;53
2012;351;0;0
2012;830;846;178
2012;892;1712;397
2012;921;463;360
2012;991;73;20
2012;992;757;136
2012;993;530;156
2012;1071;1387;542
2012;473;2392;925
2012;663;1208;379
2012;552;0;0
2012;772;0;0
2012;568;0;0
2012;398;0;0
2012;394;0;0
2012;614;0;0
2012;235;0;0
2012;616;0;0
2012;267;1468;1142
2012;565;0;0
2012;220;351;275
2012;278;1124;688
2012;107;0;0
2012;141;0;0
2012;711;1275;372
2012;204;0;0
2012;579;0;0
2012;348;0;0
2012;766;0;0
2012;761;0;0
2012;728;15;12
2012;280;1523;1152
2012;222;0;0
2012;276;2291;1210
2012;11;280;181
2012;302;140;76
2012;682;0;0
2012;279;1760;813
2012;282;1374;838
2012;281;647;521
2012;183;0;0
2012;610;0;0
2012;116;0;0
2012;115;0;0
2012;114;0;0
2012;126;0;0
2012;119;0;0
2012;770;1153;422
2012;583;0;0
2012;136;0;0
2012;469;143;68
2012;642;757;256
2012;674;2328;812
2012;193;0;0
2012;526;1415;424
2012;698;0;0
2012;630;1401;306
2012;124;0;0
2012;364;0;0
2012;604;1541;613
2012;123;0;0
2012;310;0;0
2012;571;593;169
2012;296;0;0
2012;566;660;166
2012;784;2074;485
2012;102;0;0
2012;379;0;0
2012;639;1269;303
2012;457;0;0
2012;609;1855;1004
2012;101;0;0
2012;454;612;167
2012;318;0;0
2012;600;937;232
2012;545;1254;183
2012;100;0;0
2012;702;1405;396
2012;778;1136;301
2012;341;0;0
2012;99;0;0
2012;767;0;0
2012;359;0;0
2012;98;0;0
2012;132;0;0
2012;97;0;0
2012;103;0;0
2012;110;0;0
2012;94;0;0
2012;91;0;0
2012;664;1080;318
2012;918;2338;766
2012;92;0;0
2012;95;0;0
2012;96;0;0
2012;301;0;0
2012;492;544;121
2012;811;72;31
2012;812;0;0
2012;832;0;0
2012;841;0;0
2012;856;0;0
2012;859;0;0
2012;861;0;0
2012;880;0;0
2012;883;0;0
2012;884;0;0
2012;877;0;0
2012;911;0;0
2012;913;0;0
2012;922;0;0
2012;923;0;0
2012;924;0;0
2012;947;0;0
2012;951;0;0
2012;972;0;0
2012;973;0;0
2012;974;0;0
2012;975;0;0
2012;960;0;0
2012;1027;0;0
2012;1028;0;0
2012;976;0;0
2012;977;0;0
2012;1020;0;0
2012;994;910;164
2012;995;0;0
2012;1060;0;0
2012;1005;0;0
2012;1061;0;0
2012;1006;0;0
2012;1088;0;0
2012;1089;0;0
2012;1076;0;0
2012;1078;0;0
2012;1033;0;0
2012;1036;0;0
2012;1037;0;0
2012;1039;0;0
2012;1067;0;0
2012;1065;0;0
2012;1066;148;105
2012;207;28;28
2012;431;0;0
2012;387;299;94
2012;179;0;0
2012;606;208;113
2012;925;1775;404
2012;541;201;85
2012;797;270;136
2012;627;520;269
2012;173;0;0
2012;636;1130;452
2012;205;0;0
2012;814;0;0
2012;881;0;0
2012;771;1402;700
2012;533;12;40
2012;447;248;118
2012;815;0;0
