Year;NHDC;Partos_vag;Cesareas
2013;242;0;15
2013;490;0;0
2013;500;276;135
2013;206;0;0
2013;58;0;0
2013;572;799;147
2013;180;0;0
2013;549;96;17
2013;582;246;57
2013;743;1466;275
2013;795;0;0
2013;269;0;0
2013;634;0;0
2013;1;51;35
2013;717;287;73
2013;373;0;0
2013;535;233;67
2013;824;1731;439
2013;888;161;60
2013;902;0;0
2013;968;0;0
2013;346;0;0
2013;27;0;0
2013;165;0;1
2013;956;707;306
2013;413;0;0
2013;149;0;0
2013;612;698;538
2013;559;0;0
2013;7;0;0
2013;283;0;0
2013;37;0;0
2013;153;0;0
2013;547;946;257
2013;397;0;0
2013;556;742;192
2013;42;0;0
2013;31;0;0
2013;740;4286;687
2013;217;0;0
2013;863;14;25
2013;889;0;0
2013;984;0;0
2013;34;0;0
2013;791;146;75
2013;181;0;0
2013;430;0;0
2013;715;169;69
2013;521;0;0
2013;524;82;79
2013;432;0;0
2013;19;127;96
2013;25;0;0
2013;26;0;0
2013;890;1269;354
2013;904;460;104
2013;957;2992;806
2013;939;1340;603
2013;236;220;169
2013;735;2189;635
2013;146;0;0
2013;363;0;0
2013;187;0;0
2013;265;0;0
2013;295;0;0
2013;496;579;124
2013;77;0;0
2013;391;0;0
2013;240;146;86
2013;448;60;19
2013;151;0;0
2013;425;33;21
2013;300;0;0
2013;339;227;112
2013;826;0;0
2013;874;316;116
2013;905;1942;562
2013;736;2723;746
2013;459;0;0
2013;320;0;0
2013;45;0;0
2013;292;0;0
2013;618;670;140
2013;463;0;0
2013;891;316;285
2013;958;722;217
2013;244;25;5
2013;28;0;0
2013;444;0;0
2013;479;0;0
2013;285;120;46
2013;253;1076;476
2013;481;142;85
2013;540;389;168
2013;332;0;0
2013;41;0;0
2013;510;0;0
2013;305;0;0
2013;708;745;237
2013;755;5250;1404
2013;750;2413;645
2013;696;2339;633
2013;434;238;95
2013;421;0;0
2013;827;0;0
2013;933;0;0
2013;1030;580;467
2013;1003;0;0
2013;1050;0;0
2013;1043;1623;704
2013;934;508;107
2013;629;1065;299
2013;21;0;0
2013;615;822;207
2013;626;188;159
2013;417;0;0
2013;597;95;92
2013;539;1229;307
2013;343;87;148
2013;135;0;0
2013;158;0;0
2013;775;776;279
2013;177;0;0
2013;578;56;52
2013;416;0;0
2013;561;309;94
2013;828;0;0
2013;860;36;36
2013;935;0;0
2013;936;0;0
2013;986;0;0
2013;987;804;152
2013;1021;0;0
2013;1085;0;0
2013;658;435;128
2013;353;0;0
2013;323;0;0
2013;620;412;89
2013;384;0;0
2013;554;923;231
2013;209;0;0
2013;707;2921;805
2013;395;0;0
2013;969;0;0
2013;1052;0;0
2013;739;3463;1344
2013;613;907;264
2013;593;0;0
2013;704;1072;402
